ACTUAL TIME (ms),TIME INTERVAL (ms),Accel X,Accel Y,label
6844,2,0.3675232,4.859955,0
2713,5,-0.50141907,4.7966614,0
4426,3,0.11225891,5.0996246,0
2663,6,-0.34230042,5.0457153,0
11302,5,0.44662476,4.352188,0
10513,8,0.7312012,4.7615967,0
10880,8,0.29385376,4.296295,0
1757,4,-1.3135529,5.321991,0
6528,4,0.32780457,4.879898,0
10606,3,0.3867798,4.558838,0
6291,5,0.20126343,4.811081,0
3362,6,-0.43544006,4.775955,0
6242,6,0.2995758,4.9483795,0
11002,8,0.44433594,4.479019,0
,270,-0.2,-0.2,1
7696,4,0.4477234,2.9914093,0
450,4,-3.6338806,2.4428864,0
5525,5,0.14997864,4.97908,0
6777,6,0.5117035,5.139038,0
3817,3,-0.4000244,4.8115845,0
8075,8,0.33218384,3.1167755,0
2405,6,-0.9928436,4.8947144,0
10934,3,0.30952454,4.2573853,0
1349,0,-0.40071106,5.0549316,0
,244,-0.2,-0.2,1
10951,8,0.40486145,4.3366547,0
11376,4,0.2381897,4.2886505,0
12118,4,0.5555725,4.4958344,0
3275,4,-0.3157959,4.8765106,0
9606,7,0.74186707,4.660309,0
,260,-0.2,-0.2,1
12170,9,0.4773407,4.400772,0
4209,7,0.23069763,5.020172,0
7793,7,0.7156067,3.1607513,0
5396,4,0.22045898,5.07045,0
1443,0,-0.50279236,5.0771637,0
5122,3,0.08306885,5.026428,0
140,4,-4.407242,2.6496124,0
1878,0,-1.2291718,5.382431,0
7611,0,0.30743408,3.4943085,0
5762,19,0.46743774,5.0970764,0
11567,4,0.5233002,4.4347534,0
1276,0,-0.32618713,4.919159,0
5681,4,0.1277008,4.7927856,0
9267,4,0.46385193,4.4535522,0
4509,4,0.15184021,5.221283,0
11771,4,0.51213074,4.4871063,0
6360,2,0.26304626,4.8272247,0
4873,0,-0.087631226,5.176117,0
8028,4,0.6244812,3.217331,0
6998,5,0.31913757,4.7256775,0
12192,4,0.47903442,4.424011,0
8900,0,0.4000244,4.4304504,0
11888,8,0.44995117,4.3870697,0
7438,3,0.8166199,4.7585754,0
11356,4,0.36320496,4.354416,0
3190,5,-0.4490204,4.7941895,0
6149,4,0.24349976,4.8016815,0
4439,4,0.11616516,5.08107,0
169,13,-4.1110687,3.1066437,0
9502,8,0.6450653,4.532852,0
7977,4,0.7429352,3.206665,0
5486,4,0.29364014,5.101776,0
,70,-3,-8,1
8134,4,1.0541992,4.191437,0
11841,4,0.4953308,4.402466,0
8664,0,0.87675476,4.6834717,0
1930,0,-1.5126648,5.069763,0
6639,3,0.30541992,4.9064636,0
11095,4,0.4220276,4.323456,0
4873,0,-0.21435547,5.00473,0
10427,8,0.5209961,4.6266327,0
852,54,-3.7006989,3.9350739,0
6091,3,0.3425598,4.862137,0
6600,6,0.54322815,5.0127563,0
12107,4,0.5702667,4.4958344,0
4173,8,0.19908142,5.148056,0
6860,4,0.44223022,4.971649,0
4130,4,0.332016,4.989746,0
4485,7,0.14608765,5.1439667,0
11584,5,0.4497223,4.4527435,0
4994,5,0.3182373,5.1201477,0
12450,4,0.55085754,4.5082855,0
1248,8,0.071380615,4.9140778,0
11650,5,0.4640503,4.330017,0
5497,7,0.33538818,5.1063538,0
7285,0,-0.17469788,4.6466675,0
12345,4,0.37434387,4.3336945,0
6771,4,0.474823,5.111435,0
6496,3,0.16218567,4.92041,0
,44,-9,2.6,1
2893,3,-0.52212524,4.6594086,0
10729,6,1.0013428,4.7433167,0
6286,4,0.22331238,4.8046875,0
10146,8,0.5650482,4.6894226,0
1513,4,-0.6391754,5.4274445,0
8149,4,0.99768066,4.308243,0
6895,3,0.38327026,4.8238525,0
5881,9,0.260849,4.981552,0
6095,4,0.34698486,4.8676453,0
,134,-0.2,0.6,1
3911,8,-0.36894226,4.784317,0
11123,8,0.3987732,4.324066,0
2123,13,-1.1794891,5.1922607,0
15,3,-3.6089478,1.8786316,0
987,39,-2.5121613,3.5803986,0
11249,1,0.57958984,4.505371,0
5939,5,0.21131897,4.7602844,0
5375,10,0.19172668,4.977066,0
5477,7,0.23562622,5.078018,0
8516,4,-0.70350647,3.9189758,0
3434,4,-0.4217987,4.8477173,0
580,20,-3.4233398,3.5366669,0
10134,4,0.5986328,4.696945,0
4345,8,0.1703949,5.178177,0
1290,4,-0.49845886,5.0507355,0
,170,0,-0.5,1
3224,4,-0.38798523,4.7808228,0
7657,8,0.47732544,2.7973328,0
3318,8,-0.3497467,4.8110046,0
7071,2,0.4280243,4.7299805,0
5380,4,0.20199585,5.045807,0
7106,3,0.2707367,4.732025,0
6657,2,0.43582153,5.0055695,0
6506,10,0.17781067,4.912201,0
4947,7,-0.13945007,4.8590546,0
6636,5,0.30274963,4.91243,0
11541,9,0.52279663,4.432541,0
6040,4,0.6626282,5.1902924,0
10994,3,0.44491577,4.459015,0
3572,3,-0.3827057,4.8908844,0
3103,4,-0.46333313,4.741394,0
,154,0.2,-0.2,1
,46,-8.2,0.2,1
7098,8,0.27792358,4.6775208,0
172,3,-3.91362,3.0736847,0
1313,7,-0.3712921,5.185364,0
10123,5,0.607254,4.6887054,0
478,12,-3.3289185,2.4594574,0
2204,6,-1.1564026,5.2093964,0
5814,4,0.62986755,5.221283,0
5083,4,0.3568573,5.2356415,0
1753,0,-1.3553162,5.336197,0
6063,2,0.42008972,4.9818115,0
3310,4,-0.3748932,4.8190613,0
7973,3,0.7415314,3.2212524,0
606,3,-2.987671,4.4289093,0
5131,9,-0.091171265,4.9808807,0
156,4,-4.2457733,3.0877533,0
4020,3,-0.1985321,4.941162,0
,36,-5.8,3.4,1
7435,4,0.8095398,4.736618,0
10357,8,0.5555725,4.672928,0
4626,8,1.083664,6.079117,0
3536,4,-0.3097992,4.905243,0
11407,4,0.2874756,4.3431854,0
6384,8,0.20812988,4.812546,0
9591,8,0.82380676,4.7168884,0
2192,4,-1.2073975,5.2039948,0
5606,4,0.23368835,4.8507996,0
4450,7,0.1133728,5.0782776,0
2556,4,-0.86161804,4.904907,0
9188,8,0.33616638,4.479126,0
8703,0,0.29144287,4.3925934,0
4634,4,0.94984436,6.1021423,0
4314,8,0.18455505,5.180191,0
6892,5,0.425354,4.8558044,0
10220,4,0.7524719,4.6825867,0
11689,4,0.60832214,4.458191,0
11685,4,0.60832214,4.4527435,0
,168,0.2,0.6,1
10216,8,0.7180786,4.6759033,0
11634,2,0.46168518,4.3264313,0
1155,0,-1.2076111,3.9438324,0
12278,4,0.46037292,4.4455566,0
10639,4,0.4651184,4.555832,0
3895,4,-0.4072113,4.756531,0
